ticker,industry,score
RKDA,Agriculture,14.902007324241866
LND,Agriculture,14.17079670252372
CALM,Agriculture,13.183840909328476
CEAD,Agriculture,9.697009232925128
AGRO,Agriculture,8.274534254797691
SANW,Agriculture,4.67427399055453
AGFY,Agriculture,3.5275838154343626
EDBL,Agriculture,1.897264061245319
LOCL,Agriculture,1.6085592786513156
NCRA,Agriculture,1.4586183244605828
UAVS,Aircraft,17.74255815646101
BA,Aircraft,13.455620704499186
AIRI,Aircraft,11.402432142389328
TDG,Aircraft,6.204389111136635
EVEX,Aircraft,4.651714967797667
JOBY,Aircraft,4.480225930967308
LILM,Aircraft,4.35021194474675
MOB,Aircraft,4.0210069520297855
ACHR,Aircraft,3.210219353974505
EVTL,Aircraft,3.2050258634635216
AWX,Almost Nothing,13.221476339023184
ESGL,Almost Nothing,7.573665128863066
HCCI,Almost Nothing,2.314388442318968
CWST,Almost Nothing,1.2920501444318844
PESI,Almost Nothing,1.0761419269145267
SRCL,Almost Nothing,0.0092990699172222
CLH,Almost Nothing,-0.2219874058095974
LICY,Almost Nothing,-1.626960689633521
AMBI,Almost Nothing,-1.70199616357838
WM,Almost Nothing,-3.683259531210302
CROX,Apparel,18.025488773330537
GIII,Apparel,14.228134961747385
SKX,Apparel,12.059965448681265
DECK,Apparel,6.729129109792756
GIL,Apparel,6.475065032627434
GES,Apparel,6.321825402978696
BIRD,Apparel,4.497931959768228
TLF,Apparel,4.482468874424908
CPRI,Apparel,4.31917152302916
LANV,Apparel,4.3122218967212405
KNDI,Automobiles and Trucks,18.448420361518
BLNK,Automobiles and Trucks,12.963034699500474
VC,Automobiles and Trucks,9.866132420718834
EVTV,Automobiles and Trucks,9.826163123850742
WKHS,Automobiles and Trucks,7.527937297508646
LEV,Automobiles and Trucks,7.005818314090893
STLA,Automobiles and Trucks,6.600084083978242
TEX,Automobiles and Trucks,6.279148344443656
WBX,Automobiles and Trucks,6.202958499908613
ADSE,Automobiles and Trucks,6.191907243949088
MFIN,Banking,20.459178464591567
AVTA,Banking,20.220643486976964
EEFT,Banking,17.256396905476848
KB,Banking,16.208395807795725
RWAY,Banking,15.915656745831894
CPSS,Banking,15.10121402854132
USIO,Banking,14.08444911757512
SRL,Banking,13.55845074436592
YRD,Banking,13.466488446781478
SWKH,Banking,11.858698860159718
JSDA,Beer & Liquor,17.800970932735023
KDP,Beer & Liquor,7.919034999305509
WEST,Beer & Liquor,7.3162157061605555
ABEV,Beer & Liquor,5.756766912911421
VWE,Beer & Liquor,3.732148786267148
VINE,Beer & Liquor,2.959596043142293
SBEV,Beer & Liquor,2.228262160028168
STZ,Beer & Liquor,1.5600353906146691
DEO,Beer & Liquor,1.2700770074776164
NAPA,Beer & Liquor,0.964473620662118
CREG,Business Services,20.766631835758364
LDWY,Business Services,15.916108635702717
PALT,Business Services,14.820507919286978
RILY,Business Services,14.255437189715495
EXAS,Business Services,13.75510228389695
GRPN,Business Services,13.166135607819562
GEG,Business Services,12.821832736180228
STAF,Business Services,12.77082112419984
MNDY,Business Services,12.474900297381128
SBFM,Business Services,12.199171625479435
CLW,Business Supplies,13.976308799460542
GLT,Business Supplies,12.932475725229798
MLKN,Business Supplies,10.117323556166848
VIRC,Business Supplies,9.586677196535442
MERC,Business Supplies,9.39186899627511
SLVM,Business Supplies,6.10369169604871
ILAG,Business Supplies,4.60232852072925
EBF,Business Supplies,-0.5745711493514157
MATV,Business Supplies,-1.1450525797163216
PTVE,Business Supplies,-1.4004842048149904
PRMW,Candy & Soda,19.628225988549836
ZVIA,Candy & Soda,5.130350175207012
AKO.B,Candy & Soda,1.969366497332771
COKE,Candy & Soda,1.4614404475024494
FIZZ,Candy & Soda,-6.784356076061965
MNST,Candy & Soda,-8.539540936432335
CCEP,Candy & Soda,-9.213068272392167
ALTO,Chemicals,22.367485617286302
ADES,Chemicals,18.50029077653716
VRME,Chemicals,13.8223488382794
SLI,Chemicals,9.851297063808842
AMTX,Chemicals,9.269768564927114
CYTH,Chemicals,8.321647484506933
GPRE,Chemicals,7.697426796001007
PCT,Chemicals,6.12368162996821
GPP,Chemicals,6.093967051551519
CNEY,Chemicals,6.07921675941009
METC,Coal,4.838863036190614
ARCH,Coal,4.62879980373528
HNRG,Coal,2.0437665127362417
BTU,Coal,-0.7481323455902766
NRP,Coal,-3.2360060170334117
ARLP,Coal,-7.439863231266994
LBRDA,Communication,17.16661452119352
MARK,Communication,16.074939283022612
FENG,Communication,14.114547400151586
IDEX,Communication,14.002775751490656
AREN,Communication,13.565658772534231
CCOI,Communication,13.560070644718651
OBLG,Communication,8.372429657930539
UCL,Communication,7.487291635102796
USM,Communication,7.278256247486811
TEO,Communication,7.043820137352498
IMMR,Computers,31.59911968601036
CLSK,Computers,17.42138835480775
OMQS,Computers,10.143634544524543
INTZ,Computers,9.50096712569766
BRQS,Computers,8.601150250337486
ASUR,Computers,8.468130628316818
IOT,Computers,7.08099012617061
SCKT,Computers,6.2085343939090745
ARBB,Computers,5.754638636598529
KBNT,Computers,5.721230215761246
ORN,Construction,11.290648628517896
WLGS,Construction,8.082406246953104
UHG,Construction,5.593569195562723
HCDI,Construction,5.0380086769017
GRBK,Construction,4.694074286527702
TPC,Construction,3.3430643194488456
HOV,Construction,3.03869171189326
AENZ,Construction,2.264697243642177
MTRX,Construction,1.684994373560179
ADD,Construction,1.5019422020814703
SKY,Construction Materials,14.581331307711029
RUN,Construction Materials,12.312449322438892
PGTI,Construction Materials,10.011725631390552
VATE,Construction Materials,9.87180142832453
TGLS,Construction Materials,8.059137259716152
TPCS,Construction Materials,7.909405120040482
CVCO,Construction Materials,7.445308379409925
LPX,Construction Materials,6.740852389331073
WFG,Construction Materials,5.47694060175209
NISN,Construction Materials,4.587838982433534
CODI,Consumer Goods,22.206374705293733
BSET,Consumer Goods,18.841977095373903
CTHR,Consumer Goods,15.917505328928296
PRPL,Consumer Goods,12.519275155850435
WULF,Consumer Goods,9.426138253137111
NANX,Consumer Goods,8.832159518884392
CPSH,Consumer Goods,8.63313561917274
GPRO,Consumer Goods,7.490319626281872
YSG,Consumer Goods,6.651139044119115
IRBT,Consumer Goods,6.069637331554399
SWBI,Defense,17.859177212778565
RDW,Defense,10.29190393922142
KTOS,Defense,5.49955453915029
AOUT,Defense,4.008491262142577
RKLB,Defense,0.0271572787734014
VSTO,Defense,-0.2558461585673826
LMT,Defense,-0.4221481249276945
RGR,Defense,-1.5945896912827084
AXON,Defense,-8.744905058439889
NPK,Defense,-10.463567686695948
SPB,Electrical Equipment,34.952861693885865
BYRN,Electrical Equipment,14.574562650036029
NCNC,Electrical Equipment,14.315563344385664
CBAT,Electrical Equipment,12.82125497576483
ELIQ,Electrical Equipment,9.956213502981983
EOSE,Electrical Equipment,9.493582056685115
PLUG,Electrical Equipment,9.260123235110324
FLUX,Electrical Equipment,8.967607796397644
EMR,Electrical Equipment,7.771740929421798
LASE,Electrical Equipment,6.039561894503095
TIO,Electronic Equipment,22.475827164235792
SUNW,Electronic Equipment,14.723935371950924
SOL,Electronic Equipment,13.83600763141856
INSG,Electronic Equipment,13.158065518088378
FKWL,Electronic Equipment,12.423823732898011
LGL,Electronic Equipment,12.286756035876016
AULT,Electronic Equipment,11.374565642386743
NNDM,Electronic Equipment,11.251289796219517
CLRO,Electronic Equipment,11.23512952680498
MMAT,Electronic Equipment,10.987939890072036
GDEN,Entertainment,27.727806451319516
TOON,Entertainment,19.374960502472756
GAIA,Entertainment,18.07377224787201
GMBL,Entertainment,13.56595223005601
MSGS,Entertainment,10.601717091539214
CDRO,Entertainment,8.337278486679777
SEAT,Entertainment,7.303579255066277
WORX,Entertainment,5.841153895441139
MSGE,Entertainment,5.822157741577701
GAME,Entertainment,5.601147662745326
MTRN,Fabricated Products,6.246956234995817
PKOH,Fabricated Products,2.1885448830350374
NTIC,Fabricated Products,1.6276563230517338
TRS,Fabricated Products,0.8415028933518922
GTLS,Fabricated Products,-9.446570812518113
FTFT,Food Products,23.80376712777977
RIBT,Food Products,8.305874740066946
MED,Food Products,7.919503846563925
FRPT,Food Products,7.464375753951864
BRID,Food Products,6.050788952488574
PLAG,Food Products,5.790953770267992
BOF,Food Products,5.475940372702092
LSF,Food Products,4.337244831501663
BRFS,Food Products,4.07420053953572
OTLY,Food Products,3.769488918188041
BGLC,Healthcare,15.428917568069078
LFMD,Healthcare,13.487080620445962
LSTA,Healthcare,11.9811076847062
MRAI,Healthcare,11.146270946053846
PIII,Healthcare,10.812231225659977
TALK,Healthcare,10.606404278734615
AVAH,Healthcare,10.012759617353325
RHE,Healthcare,9.671864666257465
ACHC,Healthcare,9.428530112338857
AGL,Healthcare,9.04182705848786
ESGR,Insurance,23.983059650425044
KFS,Insurance,20.96149500948228
GLRE,Insurance,15.818210010836816
FGF,Insurance,14.169924707118849
AEG,Insurance,13.724693589688744
WTM,Insurance,13.530466895227091
EHTH,Insurance,10.646216628475496
KINS,Insurance,8.807112959353917
MBI,Insurance,8.577728630615502
ACT,Insurance,8.23963863951452
IVAC,Machinery,18.491375497742844
EKSO,Machinery,10.233503149283855
AZTA,Machinery,9.15899770203075
DTI,Machinery,9.10672165561863
LRCX,Machinery,8.164978749652192
CMI,Machinery,8.137337262328243
PPIH,Machinery,7.321266655645532
ASML,Machinery,7.127093120692482
MNTX,Machinery,6.484903226562485
SOI,Machinery,6.393449816544209
AEMD,Measuring and Control Equipment,15.20508208404435
CLIR,Measuring and Control Equipment,12.545881295316702
CTKB,Measuring and Control Equipment,9.814666942431442
PRPO,Measuring and Control Equipment,7.657051971374643
ASTC,Measuring and Control Equipment,7.363835139062422
TKOI,Measuring and Control Equipment,7.3304855129601565
INIS,Measuring and Control Equipment,7.169794067457509
OLK,Measuring and Control Equipment,7.111992109434962
MIR,Measuring and Control Equipment,6.8125946505296735
AXDX,Measuring and Control Equipment,5.477140900992096
SMTI,Medical Equipment,17.63893883712272
MDGS,Medical Equipment,14.748269046560797
ASXC,Medical Equipment,12.506028798123092
CTCX,Medical Equipment,10.433925629315423
MDXG,Medical Equipment,9.820197251705444
AXGN,Medical Equipment,9.20840056014213
TTOO,Medical Equipment,8.666181604152596
RVP,Medical Equipment,8.598107409491943
NARI,Medical Equipment,8.496785739601702
SIEN,Medical Equipment,7.294127146052834
LEU,Non-Metallic and Industrial Metal Mining,11.589209809999648
WRN,Non-Metallic and Industrial Metal Mining,7.9668907820954065
IONR,Non-Metallic and Industrial Metal Mining,7.75352201918191
SQM,Non-Metallic and Industrial Metal Mining,6.748248400438668
RIO,Non-Metallic and Industrial Metal Mining,6.626431574287918
PZG,Non-Metallic and Industrial Metal Mining,6.118088687923871
NGD,Non-Metallic and Industrial Metal Mining,6.108499607309404
EU,Non-Metallic and Industrial Metal Mining,5.763803321801489
NB,Non-Metallic and Industrial Metal Mining,5.312871418714787
AMLI,Non-Metallic and Industrial Metal Mining,5.09215254135422
TISI,Personal Services,17.42589504626018
XWEL,Personal Services,16.793140609389376
CAR,Personal Services,16.242873630983333
LOV,Personal Services,14.311370121836362
AACG,Personal Services,12.281436110543275
LAUR,Personal Services,8.74635728439853
VSTA,Personal Services,6.589032734144154
EJH,Personal Services,6.501483062748983
EM,Personal Services,5.44299120427373
GETR,Personal Services,4.708894264887536
REPX,Petroleum and Natural Gas,20.023379406343317
NOG,Petroleum and Natural Gas,17.278975310732907
YPF,Petroleum and Natural Gas,10.448390437790362
PBF,Petroleum and Natural Gas,10.1402664767309
GPOR,Petroleum and Natural Gas,9.598874526497314
CHRD,Petroleum and Natural Gas,9.218283127336033
EOG,Petroleum and Natural Gas,7.159976108314456
CHK,Petroleum and Natural Gas,7.157563320654989
VTLE,Petroleum and Natural Gas,6.814215568008654
EC,Petroleum and Natural Gas,6.755949203294041
ENZN,Pharmaceutical Products,23.10610036761062
PRPH,Pharmaceutical Products,16.252688685558255
BLTE,Pharmaceutical Products,12.427741267473335
MLTX,Pharmaceutical Products,12.229540468174314
TNXP,Pharmaceutical Products,11.944485390940416
INDV,Pharmaceutical Products,11.77174259097923
IMCR,Pharmaceutical Products,11.343814137053773
CSBR,Pharmaceutical Products,11.308726363300812
CRVO,Pharmaceutical Products,11.051840016170589
PROK,Pharmaceutical Products,10.905534134163428
CTGO,Precious Metals,6.850697507968465
NEWP,Precious Metals,6.082355221367407
ORLA,Precious Metals,5.954784794993034
USGO,Precious Metals,5.488203312515262
VZLA,Precious Metals,5.34559542441821
AEM,Precious Metals,5.07928982515892
CGAU,Precious Metals,5.031148109915556
AUST,Precious Metals,4.969052083618285
GLDG,Precious Metals,4.963349383422677
SKE,Precious Metals,4.440351978980486
DJCO,Printing and Publishing,16.227745506299648
AXR,Printing and Publishing,16.040628608488795
ACCO,Printing and Publishing,8.642694188001576
DALN,Printing and Publishing,4.473136523169902
SCHL,Printing and Publishing,2.425778842043585
GCI,Printing and Publishing,-0.1866554068769073
TRI,Printing and Publishing,-2.69936307825994
DLX,Printing and Publishing,-3.430218990766193
PSO,Printing and Publishing,-6.349669978052486
NYT,Printing and Publishing,-7.038397791996899
STRS,Real Estate,22.31252490822736
INTG,Real Estate,19.03609811016987
MLP,Real Estate,9.821389588787568
AOMR,Real Estate,8.971973008641346
CTO,Real Estate,8.731030979875207
IRS,Real Estate,8.690335233044939
OPAD,Real Estate,7.120681449515505
IIPR,Real Estate,5.445348266467693
DOUG,Real Estate,5.294260339765045
AAMC,Real Estate,4.889609900718246
MICS,Recreation,29.165983180177506
GNSS,Recreation,14.118844740261205
CNXA,Recreation,3.8521214157484542
CLAR,Recreation,2.9067932061852604
JAKK,Recreation,2.8979371757730954
KOSS,Recreation,1.920773446816408
DTC,Recreation,-0.2616321581887104
SRM,Recreation,-0.9397886979903328
KN,Recreation,-1.652460817762729
UEIC,Recreation,-4.086428836746263
WYNN,Restaraunts Hotels Motels,11.163836962431663
SOND,Restaraunts Hotels Motels,11.112531654863083
HGV,Restaraunts Hotels Motels,9.403105167281122
SHCO,Restaraunts Hotels Motels,9.31085139856967
BH,Restaraunts Hotels Motels,8.533772005783304
SLNA,Restaraunts Hotels Motels,6.835660430862529
LOCO,Restaraunts Hotels Motels,6.587396195505539
BTBD,Restaraunts Hotels Motels,6.062892986103262
SG,Restaraunts Hotels Motels,5.081786677571813
STKS,Restaraunts Hotels Motels,4.852955258075489
TKAT,Retail,16.146255017785347
RAD,Retail,13.656039454816735
CVNA,Retail,12.965991309387167
MTCH,Retail,12.927369464275454
BBW,Retail,10.882930914361602
ELA,Retail,10.740508943908912
DXLG,Retail,10.697899893873055
NEGG,Retail,9.93000147403784
DBGI,Retail,9.764000255608076
EXPR,Retail,9.746096491688984
RTC,Rubber and Plastic Products,37.27280856287465
AREB,Rubber and Plastic Products,9.891610443102916
YTEN,Rubber and Plastic Products,8.955202356916077
LWLG,Rubber and Plastic Products,8.201666724656937
FORD,Rubber and Plastic Products,4.156982128361032
NWL,Rubber and Plastic Products,3.949360636004096
KRT,Rubber and Plastic Products,3.042806974218287
NPO,Rubber and Plastic Products,2.957224161847733
MYE,Rubber and Plastic Products,2.934205700637859
WMS,Rubber and Plastic Products,2.9237567416836323
RAIL,Shipbuilding Railroad Equipment,23.576649029854792
MBUU,Shipbuilding Railroad Equipment,12.085992356246775
VEEE,Shipbuilding Railroad Equipment,4.889808556769422
FRZA,Shipbuilding Railroad Equipment,4.685895851903869
TRN,Shipbuilding Railroad Equipment,3.162165475753268
VMAR,Shipbuilding Railroad Equipment,2.369088146487235
MCFT,Shipbuilding Railroad Equipment,1.8125940918707664
GBX,Shipbuilding Railroad Equipment,-4.342800178138814
RVSN,Shipbuilding Railroad Equipment,-4.77248459893052
MPX,Shipbuilding Railroad Equipment,-4.955435492355563
CCK,Shipping Containers,22.300496658555343
OI,Shipping Containers,17.588210761957352
GPK,Shipping Containers,12.68812740744264
PKG,Shipping Containers,3.16180141131715
GEF,Shipping Containers,-0.8585777957896922
BALL,Shipping Containers,-4.905177052947039
AMBP,Shipping Containers,-6.0722263212648455
SON,Shipping Containers,-7.306003834081527
WRK,Shipping Containers,-8.608146613362678
STVN,Shipping Containers,-8.703701203374328
WIRE,Steel Works Etc,15.7062384120181
GGB,Steel Works Etc,12.89798603830545
APWC,Steel Works Etc,8.052850147196935
SPLP,Steel Works Etc,6.39601011250405
MT,Steel Works Etc,5.394734179535953
CENX,Steel Works Etc,5.197582229500668
FRD,Steel Works Etc,5.133509454290873
ACNT,Steel Works Etc,3.5912615616594783
X,Steel Works Etc,3.3524999684365326
STLD,Steel Works Etc,3.275585164164111
MHK,Textiles,14.583399087109612
DXYN,Textiles,9.011692115605006
AIN,Textiles,3.885065143546983
TILE,Textiles,-2.119750306900737
CRWS,Textiles,-4.093839587091773
CULP,Textiles,-49.196038259613495
UFI,Textiles,-54.72304412783863
XXII,Tobacco Products,19.101489941861534
VGR,Tobacco Products,15.25313297676268
HPCO,Tobacco Products,2.8250509710145386
KAVL,Tobacco Products,0.9172572038478108
PM,Tobacco Products,0.4053914110416515
ISPR,Tobacco Products,-1.562790926589933
MO,Tobacco Products,-3.976024374865095
RLX,Tobacco Products,-7.89316215021106
TPB,Tobacco Products,-9.114211946609108
OXSQ,Trading,14.15348528515145
HSPO,Trading,13.833866235423288
ARR,Trading,12.90794514519249
BTWN,Trading,12.426321834167815
CLOE,Trading,12.199440128857288
ORC,Trading,11.412659960075702
ACTG,Trading,10.993909123143895
GDNR,Trading,10.501070903252655
SAFE,Trading,9.692229086660747
STLY,Trading,9.651109889511051
PSHG,Transportation,23.653111864419017
USDP,Transportation,15.001179080913037
ESEA,Transportation,13.692874311884452
GLNG,Transportation,13.037719744402544
EURN,Transportation,12.789083501531902
OP,Transportation,12.070036120171602
LIND,Transportation,11.443713140810326
USEA,Transportation,10.546788109475235
INSW,Transportation,10.513545882873904
TOPS,Transportation,7.911538477490506
ELLO,Utilities,24.26118026335552
KEN,Utilities,19.292203038732914
NGL,Utilities,14.920768372628284
VIA,Utilities,12.78350882775204
SLNG,Utilities,12.240777313465005
CEQP,Utilities,12.008071496617676
LNG,Utilities,11.937089648975071
GNE,Utilities,8.419589702952434
PCYO,Utilities,7.686565963316019
ENIC,Utilities,6.769883369941014
JVA,Wholesale,16.6954701759865
VRTV,Wholesale,10.247867711476651
VOXX,Wholesale,9.556650991290216
STKL,Wholesale,9.488090039402277
UUU,Wholesale,8.559766035295944
HDSN,Wholesale,7.489921547016535
RELL,Wholesale,7.421522213042648
GWAV,Wholesale,6.45512703372914
HYFM,Wholesale,4.809684800148764
AE,Wholesale,4.713982540550477
