date,VCSH,HYG,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal
2022-11-14,72.593,69.641,,,,,,0
2022-11-15,72.836,70.253,,,,,,0
2022-11-16,72.972,70.102,,,,,,0
2022-11-17,72.836,69.801,,,,,,0
2022-11-18,72.797,69.952,,,,,,0
2022-11-21,72.768,69.923,,,,,,0
2022-11-22,72.865,70.432,,,,,,0
2022-11-23,73.011,70.828,,,,,,0
2022-11-25,73.02,70.687,,,,,,0
2022-11-28,72.982,69.942,,,,,,0
2022-11-29,72.875,70.244,,,,,,0
2022-11-30,73.273,71.299,,,,,,0
2022-12-01,73.466,71.562,,,,,,0
2022-12-02,73.564,71.505,,,,,,0
2022-12-05,73.272,70.824,,,,,,0
2022-12-06,73.311,70.568,,,,,,0
2022-12-07,73.573,70.956,,,,,,0
2022-12-08,73.437,71.013,,,,,,0
2022-12-09,73.379,71.013,,,,,,0
2022-12-12,73.34,71.288,,,,,,0
2022-12-13,73.622,72.026,,,,,,0
2022-12-14,73.641,71.619,,,,,,0
2022-12-15,73.69,71.35,,,,,,0
2022-12-16,73.709,70.97,,,,,,0
2022-12-19,73.515,70.608,,,,,,0
2022-12-20,73.379,70.427,,,,,,0
2022-12-21,73.564,71.027,,,,,,0
2022-12-22,73.544,70.589,,,,,,0
2022-12-23,73.534,70.77,,,,,,0
2022-12-27,73.28,70.037,,,,,,0
2022-12-28,73.241,69.095,,,,,,0
2022-12-29,73.378,69.99,,,,,,0
2022-12-30,73.28,70.047,,,,,,0
2023-01-03,73.358,70.18,,,,,,0
2023-01-04,73.485,70.989,,,,,,0
2023-01-05,73.339,70.846,,,,,,0
2023-01-06,73.797,71.854,,,,,,0
2023-01-09,73.885,72.111,,,,,,0
2023-01-10,73.846,72.026,,,,,,0
2023-01-11,73.992,72.501,,,,,,0
2023-01-12,74.255,72.91,,,,,,0
2023-01-13,74.138,72.91,,,,,,0
2023-01-17,74.187,72.663,,,,,,0
2023-01-18,74.489,72.749,,,,,,0
2023-01-19,74.45,72.32,,,,,,0
2023-01-20,74.382,72.463,,,,,,0
2023-01-23,74.284,72.454,,,,,,0
2023-01-24,74.372,72.501,,,,,,0
2023-01-25,74.401,72.492,,,,,,0
2023-01-26,74.372,72.672,,,,,,0
2023-01-27,74.313,72.454,,,,,,0
2023-01-30,74.216,72.054,,,,,,0
2023-01-31,74.538,72.615,,,,,,0
2023-02-01,74.735,73.374,,,,,,0
2023-02-02,74.793,73.795,,,,,,0
2023-02-03,74.442,73.021,,,,,,0
2023-02-06,74.158,72.552,,,,,,0
2023-02-07,74.178,72.811,,,,,,0
2023-02-08,74.237,72.505,,,,,,0
2023-02-09,74.08,72.036,1.8122969250397352,-62.218956206943574,,,,0
2023-02-10,73.992,71.482,1.815648072249958,-62.861432161918884,,,,0
2023-02-13,73.983,71.663,1.830132101865115,-63.735663292286816,,,,0
2023-02-14,73.856,71.683,1.8299000400275567,-63.4660973562752,,,,0
2023-02-15,73.778,71.568,1.8269992789679317,-63.22435280369608,,,,0
2023-02-16,73.738,70.994,1.838469334025799,-64.57105175239437,,,,0
2023-02-17,73.826,71.272,1.852550850304547,-65.49441907458346,,,,0
2023-02-21,73.553,70.172,1.9092115762039237,-70.2562390645272,,,,0
2023-02-22,73.563,70.631,1.9654202143242145,-73.9512072263322,,,,0
2023-02-23,73.66,71.329,2.008294570808961,-76.60197808578805,,,,0
2023-02-24,73.436,70.899,2.0085802005011915,-76.60309560400552,,,,0
2023-02-27,73.543,71.377,2.048934248901794,-79.30777146698465,,,,0
2023-02-28,73.533,71.243,2.086395560904776,-82.17592478001089,,,,0
2023-03-01,73.322,71.042,2.086927387903896,-81.97568993588945,,,,0
2023-03-02,73.391,71.129,2.0798940038986737,-81.51650084012756,,,,0
2023-03-03,73.538,71.86,2.076613094864555,-80.84997377014965,,,,0
2023-03-06,73.508,71.86,2.0499542520536367,-78.82803715995873,,,,0
2023-03-07,73.264,71.35,1.999056468222127,-75.10887308782591,,,,0
2023-03-08,73.185,71.013,1.9654833550770034,-72.8308993413105,,,,0
2023-03-09,73.361,70.619,1.980247246296516,-74.6539182355587,,,,0
2023-03-10,73.704,70.629,2.0180543679437473,-78.10967913492594,,,,0
2023-03-13,73.743,70.244,2.0446152723577455,-80.53206402947723,,,,0
2023-03-14,73.724,70.754,2.058702376742472,-81.02177402296202,,,,0
2023-03-15,73.88,70.523,2.0553368752889645,-81.32528834634869,,,,0
2023-03-16,73.665,70.984,2.0549473862069405,-80.3936992049343,,,,0
2023-03-17,74.007,70.561,2.025746641906824,-79.35843172759832,,,,0
2023-03-20,73.949,70.369,2.0049823903593804,-77.89744278468581,,,,0
2023-03-21,74.086,71.138,1.9879908457493158,-76.14428979818379,,,,0
2023-03-22,74.477,71.206,1.8894124937177021,-69.51177429461332,,,,0
2023-03-23,74.595,70.927,1.7583592286916307,-60.237806664252176,-73.82547770848495,7.270688082812822,1.868828766888332,0
2023-03-24,74.693,70.782,1.5825003095090857,-47.41969561816214,-73.33216902219225,8.485845483176067,3.0536112701325826,-1
2023-03-27,74.242,70.609,1.4505587668171935,-37.08338396604209,-72.47290074899637,10.619541944235776,3.332489948134109,-1
2023-03-28,74.154,70.571,1.3812311442026004,-31.852814267199633,-71.41013911482678,12.879057714431324,3.0714455765892033,-1
2023-03-29,74.282,71.456,1.319466886697838,-26.556639277688802,-70.17982384554057,15.215183069214117,2.8670824642338633,-1
2023-03-30,74.316,71.879,1.271523272060501,-22.615523486448183,-68.8261962016323,17.49144316550114,2.641901658882368,-1
2023-03-31,74.624,72.658,1.2809516335394744,-22.931734701249724,-67.43821896659415,19.389801669170662,2.2953553122778305,-1
2023-04-03,74.919,72.602,1.2591915785778973,-21.735373875477478,-65.97958412662395,21.110637192750765,2.0958254290088223,-1
2023-04-04,75.007,72.389,1.221126250627184,-19.204016680793202,-64.27784338049949,22.748169583996443,1.9814265289905417,-1
2023-04-05,75.036,71.983,1.1546324838750415,-14.65600306004761,-62.301336574956665,24.395062429593676,1.9530728257989802,-1
2023-04-06,74.968,72.302,1.1335647875062407,-12.679084989767844,-60.17057347175599,25.851104171757736,1.8371164406150386,-1
2023-04-10,74.801,72.235,1.124730210606158,-11.895944483551233,-58.01366843440753,27.10194856220948,1.701638679041776,-1
2023-04-11,74.762,72.389,1.1102086699992182,-10.612420586481548,-55.72382340505741,28.12355168747001,1.604043590222444,-1
2023-04-12,74.85,72.37,1.1001472896571942,-9.976024630840982,-53.317160066751754,28.86142706751621,1.50169758877556,-1
2023-04-13,74.997,72.863,1.1079380939921095,-10.229033235126238,-50.92560484339298,29.37285073389811,1.3855165770920679,-1
2023-04-14,74.83,72.727,1.1043160236482563,-9.908968049599011,-48.5386870837087,29.708820663396626,1.3002777684037874,-1
2023-04-17,74.673,72.534,1.1070285659559893,-10.131144105631591,-46.18139276155809,29.861878446197153,1.207233119004187,-1
2023-04-18,74.693,72.582,1.1087936508814398,-10.237124165287383,-43.89502899506905,29.901899963848436,1.1256109100249234,-1
2023-04-19,74.556,72.293,1.107128809144087,-10.250095494546542,-41.73306974195973,29.911963051846847,1.0525211666263188,-1
2023-04-20,74.771,72.225,1.093650070039994,-9.548309386960398,-39.623650076814734,29.874643110518086,1.0067179908591306,-1
2023-04-21,74.742,72.447,1.089822759710408,-9.008532706275318,-37.435470559171954,29.623416043637878,0.9596103910170682,-1
2023-04-24,74.87,72.65,1.088342859274135,-8.834229873854497,-35.126288917136236,29.03774398388597,0.9054442747987618,-1
2023-04-25,75.115,72.534,1.073995528969188,-8.139174158520547,-32.71319258810435,28.128066500833516,0.873647622699399,-1
2023-04-26,75.017,72.254,1.058632244516153,-7.161415086868232,-30.251180623567887,26.962160478896223,0.8563766822311007,-1
2023-04-27,74.83,72.495,1.052891851845334,-6.292897273586348,-27.750100921142476,25.50156026603626,0.841407483452433,-1
2023-04-28,75.017,72.805,1.0328784102907047,-4.678439704777787,-25.226258937803927,23.801925062958226,0.8632839225682509,-1
2023-05-01,74.784,72.472,0.99313672730351,-1.7987370146657042,-22.640935780706172,21.851739646752247,0.9538004343346721,-1
2023-05-02,75.0,72.404,0.9783326914555552,-0.9709518591666466,-20.0767194165222,19.53467978264363,0.9780435497248764,-1
2023-05-03,75.227,72.365,0.9681874442972703,-0.4688368721507601,-17.554204318987765,16.729606060200023,1.021265377400807,-1
2023-05-04,75.256,72.152,0.9495587971943463,0.6920031583422741,-15.214078403889244,13.87824044736721,1.1461165860726243,-1
2023-05-05,75.049,72.54,0.9553275612414267,0.8436218563921614,-13.178030786534434,11.283051240711607,1.2427181569763275,-1
2023-05-08,74.887,72.336,0.9626776093095007,0.24396187163941363,-11.589242203541051,9.511954212619687,1.2440350122250519,-1
2023-05-09,74.882,72.152,0.9618904002101605,0.12372305146276119,-10.349005302957554,8.438290354538827,1.2410959939044044,-1
2023-05-10,75.177,72.589,0.9686335149908637,-0.22996175646817107,-9.294910219266507,7.5921586773479595,1.193988277648175,-1
2023-05-11,75.236,72.472,0.9735922592162685,-0.7771872143951839,-8.435595150490052,7.007427024377759,1.092898707250528,-1
2023-05-12,75.049,72.21,0.9784244144749817,-1.2197738819329231,-7.722403497006209,6.590890815429028,0.9866086083311947,-1
2023-05-15,75.03,72.191,0.9711204472819925,-0.6721671595679055,-6.980417912283482,6.0504237782089305,1.0426130439714372,-1
2023-05-16,74.892,71.686,0.962266618485887,-0.38007159164503435,-6.268574502822401,5.484383547134602,1.0736854672124276,-1
2023-05-17,74.804,71.88,0.9313122814769081,2.214116096401355,-5.554636743582582,5.124702129647592,1.5159423208306873,-1
2023-05-18,74.636,71.919,0.9183774778141057,3.3749785658663995,-4.953604022718781,5.077606469834382,1.640257597366902,-1
2023-05-19,74.622,71.997,0.9277394044438901,2.7672301615880315,-4.438726851006919,5.050284408800532,1.426841823014558,-1
2023-05-22,74.617,72.317,0.9324682792090411,2.7390144102589744,-3.9508948878799126,5.011800831797361,1.3348314353784312,-1
2023-05-23,74.666,71.938,0.9513400748970684,0.9052419677354919,-3.5669728027393446,4.9242907252408985,0.9081947066104742,-1
2023-05-24,74.518,71.434,0.9671622713961707,-0.636998139899859,-3.2556719197079738,4.798750175828535,0.5456991266181062,-1
2023-05-25,74.341,71.385,0.9932821768358455,-2.4565903081535794,-2.9965904888088852,4.615600091749823,0.11699457706930282,-1
2023-05-26,74.351,71.822,1.0194872519482818,-3.977896669606693,-2.7988881094758082,4.432709817099144,-0.2659791885277192,0
2023-05-30,74.666,72.133,1.0857277196821336,-8.93394591778619,-2.7589815032142946,4.369359432090132,-1.4132424925312295,0
2023-05-31,74.715,71.909,1.1663097250821923,-15.231831109515994,-2.9254717346885815,4.743291245207012,-2.5944768597675103,1
2023-06-01,74.858,72.339,1.2726204155743095,-22.926819069061665,-3.3480291871724193,5.8531237790576585,-3.3450155200786464,1
2023-06-02,74.68,72.71,1.3971298668965209,-31.62765845983219,-4.084007489601479,7.7427534900214425,-3.5573457176091026,1
2023-06-05,74.641,72.651,1.4621529629509613,-36.48555930762271,-4.9999083763130585,9.718450449758324,-3.2397809809374114,1
2023-06-06,74.611,72.768,1.4655078739292449,-36.5750079817349,-5.924600979909072,11.288739119902464,-2.7151311299052012,1
2023-06-07,74.458,72.369,1.4024327130887508,-32.05333495116221,-6.721739672997128,12.253608614574167,-2.0672763489472197,1
2023-06-08,74.631,72.827,1.4068319729391765,-32.16627697242369,-7.5552350691823085,13.105364162268284,-1.8779365150416152,1
2023-06-09,74.444,72.846,1.3126588159836712,-24.873572897088422,-8.174590923299045,13.477426597622468,-1.2390334202773712,1
2023-06-12,74.552,72.768,1.3381754849133467,-26.995658751259825,-8.918498224848445,13.887475605090739,-1.301688013031312,1
2023-06-13,74.434,72.856,1.184920214835913,-15.342351271096348,-9.369952033396135,13.868169898666267,-0.43065518243143186,1
2023-06-14,74.424,72.885,0.9560854799055672,1.7292942435080647,-9.279943829973643,13.933171747603264,0.7901458672089848,0
2023-06-15,74.69,73.236,0.8705672448378724,8.213332483059318,-8.990538184799975,14.209918118398681,1.2106945673095828,0
2023-06-16,74.582,73.051,0.7769559542343332,15.10407102129497,-8.510135922701553,14.780703183013664,1.5976375854116691,0
2023-06-20,74.67,72.856,0.7171460427801588,19.306704985605535,-7.8946998183944395,15.54806498274228,1.7495041880897995,0
2023-06-21,74.651,72.671,0.6861531394525828,21.44898198672525,-7.187865814558245,16.390023074425322,1.7472121711633148,0
2023-06-22,74.562,72.456,0.4859584745485191,36.221964220713325,-5.984591108916559,18.17337076742058,2.3224395666484514,-1
2023-06-23,74.582,72.33,0.2172394361267614,56.127848374793885,-4.105997437874491,21.412884214127363,2.8129720970950984,-1
2023-06-26,74.7,72.369,0.09203966309374599,65.49363716689717,-1.8969699584980788,24.90220235942008,2.7062107259722965,-1
2023-06-27,74.582,72.612,0.00547382556224022,72.203751141917,0.5504808756302518,28.34165241918492,2.528196634638829,-1
2023-06-28,74.739,73.031,0.011137550304345694,72.19859062780351,2.979506135209299,31.210730054293897,2.2177976731778246,-1
2023-06-29,74.542,72.836,-0.03055444474179446,75.11358941994284,5.495961502262229,33.86140271731077,2.055958180435638,-1
2023-06-30,74.621,73.187,-0.06508800532644031,78.0439320454643,8.02362203389766,36.346990917195875,1.9264403529602725,-1
2023-07-03,74.535,73.073,-0.0702767918425353,78.31108067998336,10.521492104368225,38.52609730070157,1.7595758025140187,-1
2023-07-05,74.436,72.848,-0.09969391298911406,80.26881610725769,13.104878302557214,40.5343145917593,1.6569649315929234,-1
2023-07-06,74.268,72.318,-0.06838076425823096,77.3965025999303,15.593461242212925,42.13609296996078,1.4667482673767915,-1
2023-07-07,74.287,72.387,-0.05479618501177246,76.45764419596954,18.111874649820727,43.464806370071656,1.3423681000526362,-1
2023-07-10,74.48,72.75,-0.07136026607971685,78.06491261761731,20.735271675071303,44.653019576997124,1.2838916939019105,-1
2023-07-11,74.574,73.142,-0.1342682773911786,83.15492251816976,23.588988769282075,45.8396424861482,1.2994414990668237,-1
2023-07-12,74.861,73.71,-0.08857742484571215,80.34099460137485,26.399618478314792,46.668596724506806,1.1558388275843343,-1
2023-07-13,75.138,74.151,0.11196490391982557,65.73818104927214,28.88868937721674,46.71039801572194,0.788892692792994,-1
2023-07-14,74.841,73.612,0.14846170857999944,62.500977268164256,31.479782989806083,46.33302605046365,0.6695266189730715,-1
2023-07-17,74.9,73.749,0.19550376757518925,59.10576780861832,34.21420255239541,45.42311995467403,0.5479932968290429,-1
2023-07-18,74.94,73.955,0.27755102390195896,53.15532626878719,37.04030204334939,43.793616808604426,0.3679765545711121,-1
2023-07-19,74.999,74.014,0.3747185130572189,45.91048623922164,39.78683689491087,41.549666827880614,0.14738143075076804,-1
2023-07-20,74.881,73.691,0.41537272987789975,42.58747461401299,42.425586314769134,38.96625058519287,0.004154577276813312,-1
2023-07-21,74.935,73.877,0.5075808408296406,35.84142969243087,44.68874513622224,36.37698999193665,-0.24321186128243347,0
2023-07-24,74.881,73.749,0.5948126682314152,29.20883259016339,46.73458212164181,33.519241219148356,-0.5228563921508634,0
2023-07-25,74.841,73.7,0.6313773676343796,26.44708642887541,48.445270765840604,30.949740889390537,-0.7107711956485586,0
2023-07-26,75.059,73.995,0.7376868337500263,18.62496394555678,49.96595818906782,28.105251391601772,-1.1151294755141792,0
2023-07-27,74.802,73.406,0.7543519273573481,16.978967129815643,51.04333546909822,26.06053533619416,-1.3071246580254356,0
2023-07-28,74.989,73.828,0.8596644483707581,9.362622681125217,51.29777975035212,25.595567004388514,-1.6383757805418755,0
2023-07-31,75.078,74.004,1.0747910746597433,-6.68916430330421,50.801029857473345,26.58601637150991,-2.16242228084931,1
2023-08-01,74.919,73.64,1.3145150462564124,-24.842152750484146,49.4694890650807,29.297581344879095,-2.536442887240374,1
2023-08-02,74.879,73.324,1.4037064292438184,-31.784133715347892,47.76646110838225,32.42894006158307,-2.4530741576092927,1
2023-08-03,74.839,73.088,1.4463201945316149,-35.15315703855153,45.87972314087303,35.51284780314356,-2.2817905403872345,1
2023-08-04,75.087,73.521,1.5099131681345528,-39.853850055719164,43.34386266499195,38.791113463626026,-2.1447621708184434,1
2023-08-07,75.137,73.659,1.670072906385784,-51.825267967108644,39.745425453595196,42.403250791289096,-2.1595205959896644,1
2023-08-08,75.186,73.817,1.9033157343951985,-69.28569680623742,35.252780987824046,46.521161013149715,-2.247116699527609,1
2023-08-09,75.107,73.827,2.062871596181653,-81.1090969744154,30.14235271727963,50.566975857102115,-2.200081136077466,1
2023-08-10,74.968,73.807,2.2275215539408917,-93.18583585584078,24.629538501158155,54.672357544503285,-2.154934955221151,1
2023-08-11,74.829,73.699,2.3357991943655585,-101.08651791518035,18.75620158998738,58.39932054230629,-2.05212523694261,1
2023-08-14,74.76,73.689,2.378678936516988,-104.14103729401003,12.683369278671568,61.41612057516594,-1.90217821442666,1
2023-08-15,74.691,73.452,2.3490791190057934,-102.00306847766171,6.672897640083401,63.55786544844366,-1.7098743853488911,1
2023-08-16,74.611,73.226,2.3072208968946786,-98.91805833820888,0.7000018252345143,64.8104109845077,-1.537068792655182,1
2023-08-17,74.621,72.921,2.2872860474421097,-97.75857214617766,-5.138500666302417,65.54818864498924,-1.4130073369610265,1
2023-08-18,74.72,72.97,2.2691599382109695,-96.58163058312363,-10.906476492272189,65.7335831879965,-1.3033696009819289,1
2023-08-21,74.601,72.95,2.183835149776241,-89.96628600845735,-16.50751644647468,65.04629935849125,-1.1293304966840243,1
2023-08-22,74.562,72.99,2.053971232831869,-80.15820306240981,-21.95128729916066,63.226298456881565,-0.9206124221069895,1
2023-08-23,74.849,73.58,1.987947626588968,-75.21589190255766,-27.136516849291745,60.88320890845093,-0.7896984392784235,1
2023-08-24,74.77,73.177,1.9646356152177218,-73.71880494982905,-31.785083049261786,58.83703786180101,-0.7127096030745635,1
2023-08-25,74.691,73.482,1.9487077214163642,-72.06892842030967,-36.27074657221092,56.483566550183994,-0.6337804787219504,1
2023-08-28,74.819,73.758,2.0084230574026023,-76.5102047318053,-40.79127899022504,53.95748118974683,-0.6619828234007278,1
2023-08-29,75.047,74.221,2.0382308828289006,-78.7421130636605,-45.18786030130663,51.349138549784115,-0.6534530804216372,1
2023-08-30,75.028,74.191,2.0570126620037024,-80.1425460048138,-49.389628042774476,48.72815606450589,-0.6311118754694696,1
2023-08-31,75.147,74.142,2.0512403770665752,-80.00256061542194,-53.47596255042231,45.80128854770236,-0.5791670694454807,1
2023-09-01,75.047,74.28,2.053645721802573,-79.83995048411771,-57.332008556307265,42.79315668985267,-0.5259705913012872,1
2023-09-05,74.898,73.796,2.0509939126150485,-79.81934206704189,-60.96628104488077,39.70863643202627,-0.47478490112431876,1
2023-09-06,74.769,73.617,2.0688691440252054,-81.07027702962058,-64.55019316016397,36.24830054108352,-0.45574781776963275,1
2023-09-07,74.967,73.865,2.065165880099905,-80.95429053344957,-67.86950164279752,32.76072757095373,-0.3994047098713786,1
2023-09-08,74.928,73.835,2.0971656804648533,-83.30143010587052,-71.21218155065372,28.664750281552966,-0.42174616685904864,1
2023-09-11,74.918,73.964,2.145817011277183,-86.796318850864,-74.41747960172003,24.403728900290375,-0.5072519572611984,1
2023-09-12,74.858,73.845,2.154253737834631,-87.4181263068248,-77.10844500183738,20.873486582329196,-0.4939127569476226,1
2023-09-13,74.948,74.043,2.178415886391868,-89.22491385329772,-79.25453703859785,18.487873939977785,-0.5392927735806411,1
2023-09-14,74.928,74.132,2.1814221411623382,-89.31759819301166,-81.17231918785328,16.241424643177254,-0.501512594129486,1
2023-09-15,74.898,73.855,2.1599433690258376,-87.92043845329717,-82.9312285683448,13.752358194259976,-0.36278940778569735,1
2023-09-18,74.918,73.904,2.1191569601051783,-84.85900113715977,-84.4314002710595,11.087790169778303,-0.03856502148333974,1
2023-09-19,74.818,73.677,2.0537738162876082,-79.98224938700626,-85.36996631838943,9.27629817596373,0.5808046301641687,0
2023-09-20,74.759,73.617,2.001540115843955,-76.01613752037825,-85.59431434219411,8.94951733239374,1.0702450720047907,0
2023-09-21,74.679,73.093,1.9666151017950715,-73.77184918695416,-85.3497394159454,9.173764982510638,1.2620652753873631,0
2023-09-22,74.828,73.222,1.9540059162281491,-72.99235469951996,-84.67662337740138,9.31866674689305,1.2538562645538416,0
2023-09-25,74.739,73.123,1.9446611425508684,-72.21902913310934,-83.71437375133233,9.052372966812674,1.2698708571074793,0
2023-09-26,74.689,72.806,1.9774758770335001,-74.88969577975509,-82.7393290341905,8.322224556264034,0.9432133441445169,0
2023-09-27,74.55,72.707,2.026046601907692,-78.33477417221846,-81.95038589067573,7.51586536430595,0.48106392853022534,0
2023-09-28,74.729,73.053,2.0593805347615595,-80.84244798219657,-81.34786554547533,6.799070494757291,0.07433627341685577,0
2023-09-29,74.709,72.945,2.0659108327196916,-81.39713240165545,-80.80248422065793,6.052532500995756,-0.09824782946637511,0
2023-10-02,74.545,72.504,2.1387962833224625,-86.93256894027296,-80.4808488325629,5.407065427714508,-1.19320178273432,0
2023-10-03,74.345,71.768,2.335808663872286,-101.8876951155851,-80.87822913613381,6.4631490025483185,-3.2506547460328687,1
2023-10-04,74.515,72.136,2.486950341684727,-113.17910471063743,-81.97892585774142,8.745202986522726,-3.5676906414841096,1
2023-10-05,74.584,72.206,2.5780744937621196,-120.07710804275392,-83.4742997290813,11.074243571988232,-3.305219726813457,1
2023-10-06,74.545,72.305,2.6632990573814888,-126.23062823250308,-85.22469383850375,13.387519680420116,-3.0629971326184084,1
2023-10-09,74.899,72.843,2.6364035821436986,-124.62099189898088,-86.97642928779278,14.953354642904781,-2.5174660475968893,1
2023-10-10,74.884,72.823,2.6132363386831816,-122.86658998595139,-88.52164212959767,16.179396150347937,-2.122758324056188,1
2023-10-11,74.849,72.813,2.59537747853851,-121.44840889112895,-89.94518532384662,17.139540348871186,-1.8380436654683765,1
2023-10-12,74.714,72.425,2.6248285184746867,-123.68643792931773,-91.39664838799675,18.097751333661478,-1.7841879328545411,1
2023-10-13,74.774,72.365,2.646531369300518,-125.52673660807694,-92.91412092108524,18.995721383763307,-1.7168400729896738,1
2023-10-16,74.664,72.345,2.6856582148768573,-128.17698495556567,-94.52535540346685,19.8780236011776,-1.6929062077431711,1
2023-10-17,74.385,72.007,2.7150115843211093,-129.94913669972573,-96.19634855788964,20.689619049334095,-1.6313876085080667,1
2023-10-18,74.265,71.659,2.7515825305699804,-132.68727663277957,-97.91691521132829,21.51801896038985,-1.6158718646663623,1
2023-10-19,74.28,71.4,2.841742588911329,-139.68463950433352,-99.87459351035774,22.567573690791942,-1.7640374875664695,1
2023-10-20,74.475,71.55,2.9347625799609673,-147.016443142593,-101.99842727824849,23.912145400293017,-1.8826422769992388,1
2023-10-23,74.609,71.838,2.9896291401013313,-151.21524051382022,-104.1457246670137,25.34914421044158,-1.8568483202449926,1
2023-10-24,74.634,72.206,3.0279167173572845,-153.77953628324354,-106.35777166622765,26.698638997150507,-1.7761865922108286,1
2023-10-25,74.525,71.818,3.080074831818483,-157.7245768412725,-108.6410937658268,28.076440895527995,-1.7482088722742524,1
2023-10-26,74.699,72.067,3.107924785797513,-160.0918735742884,-111.00023627853604,29.341701598008267,-1.6731012389235371,1
2023-10-27,74.724,71.977,3.130087803854864,-161.91568105525087,-113.46674436526783,30.424765157753832,-1.5924177701544462,1
2023-10-30,74.634,71.997,3.24055807688791,-169.85881151045226,-116.30007137771092,31.603771991018416,-1.694694549370954,1
2023-10-31,74.634,72.186,3.3693142616793876,-179.27940060617942,-119.60997641835,32.84440921948146,-1.8167300190754188,1
2023-11-01,74.98,72.87,3.4073476030384375,-182.61292327582206,-123.16320261019814,33.71998656484991,-1.7630410543400086,1
2023-11-02,75.095,73.69,3.3945984857550964,-181.22737328777896,-126.74505341355898,33.998549559450254,-1.6024895350006498,1
2023-11-03,75.34,74.41,3.243968224480945,-169.9905660323944,-129.97832712465478,33.31580331652873,-1.2009987730924274,1
2023-11-06,75.175,74.11,3.1854256636014675,-165.3543742612403,-133.0828386289258,32.06379859198416,-1.0064788655571921,1
2023-11-07,75.31,74.12,3.0614036587083837,-156.43430953732837,-135.80099242084492,30.372246145690934,-0.6793477511511216,1
2023-11-08,75.3,74.16,2.992576237665779,-151.18099069623318,-138.22919963831208,28.472018411622948,-0.4548954299858795,1
2023-11-09,75.13,73.7,2.981959737911643,-150.33463510930176,-140.54560587588225,26.393147822284647,-0.3708928279162782,1
2023-11-10,75.2,74.06,2.968978318894107,-149.20716958083685,-142.80594044852162,23.94286065008748,-0.26735439953754375,1
2023-11-13,75.24,73.99,2.9208398058233125,-145.773986990146,-144.76732105018408,21.492678743696747,-0.046837620939044144,1
2023-11-14,75.7,74.74,2.7469529553811385,-133.2043387223522,-145.81120917040965,20.050342774272693,0.6287608441404696,0
